X,Y,crash_datetime,crash_month
-93.6448467990954,42.0415984740043,2021/02/17 17:58:00+00,2
-93.6171537086669,42.0403547091493,2021/02/11 15:26:00+00,2
-93.6100939630802,42.0083830840517,2021/02/11 16:52:00+00,2
-93.6210529830117,42.0573830475319,2021/02/17 07:55:00+00,2
-93.5697414244603,42.0415545508092,2021/03/03 09:27:00+00,3
-93.61002687643,42.0038891453045,2021/03/04 16:19:00+00,3
-93.6103548053684,42.0179827252703,2021/03/05 13:38:00+00,3
-93.6401801872855,42.0328972512475,2021/02/25 20:05:00+00,2
-93.6205164839081,42.0457224915475,2021/03/21 13:20:00+00,3
-93.6102924404674,42.0127232086679,2021/03/13 16:38:00+00,3
-93.6106823780153,42.0345440694934,2021/03/13 19:39:00+00,3
-93.6333390332861,42.0228208311265,2021/02/24 09:00:00+00,2
-93.6136328149309,42.021000466136,2021/01/12 11:40:00+00,1
-93.6787332128409,42.0229576679615,2021/02/07 22:14:00+00,2
-93.5864999369773,42.0073892417408,2021/03/06 14:27:00+00,3
-93.6227738736581,42.0083690298356,2021/03/07 13:32:00+00,3
-93.6315109298712,42.0419248088852,2021/02/25 07:43:00+00,2
-93.5812109271369,42.0087491211968,2021/02/11 16:19:00+00,2
-93.6787023312306,42.0143745879972,2021/02/03 14:20:00+00,2
-93.6204450096075,42.0421022476122,2021/03/03 15:45:00+00,3
-93.6137839490318,42.0229000461309,2021/03/04 07:46:00+00,3
-93.6267600382881,42.0195425235463,2021/03/03 18:00:00+00,3
-93.5705764307249,42.033597608943,2021/02/21 14:16:00+00,2
-93.6107037929982,42.0228984624685,2021/03/15 11:55:00+00,3
-93.6732603502121,42.0228548016703,2021/03/18 14:55:00+00,3
-93.6233996341578,42.0526509056301,2021/03/24 22:09:00+00,3
-93.626031741293,42.0228699251047,2021/03/25 16:43:00+00,3
-93.6590280243958,42.015515983259,2021/02/10 16:24:00+00,2
-93.6358101575558,42.0162503804221,2021/02/01 18:32:00+00,2
-93.6205876291993,42.0195040087092,2021/02/11 17:24:00+00,2
-93.6786928057433,42.0180223073011,2021/02/17 06:51:00+00,2
-93.6762677549283,42.0102909627794,2021/02/20 13:00:00+00,2
-93.6471519615065,42.0115666176567,2021/02/21 21:08:00+00,2
-93.6616380361369,42.024957869249,2021/02/08 07:32:00+00,2
-93.6444269884568,42.0227681212263,2021/02/11 19:26:00+00,2
-93.6446318623472,42.0454364671642,2021/02/18 16:52:00+00,2
-93.6204039931632,42.0354015952618,2021/02/19 15:35:00+00,2
-93.6175858570672,42.0200966200725,2021/02/21 10:19:00+00,2
-93.6238334848255,42.0228818935898,2021/02/21 14:15:00+00,2
-93.6340868150833,42.0032543919526,2021/02/21 18:12:00+00,2
-93.6787046293211,42.0145907322791,2021/02/21 18:50:00+00,2
-93.6244767749458,42.0392433194231,2021/02/21 19:10:00+00,2
-93.6203278150161,42.0312950158292,2021/03/12 19:10:00+00,3
-93.6383690029235,42.0245402414929,2021/02/08 12:05:00+00,2
-93.633542277573,42.0274761061558,2021/02/11 12:15:00+00,2
-93.6373348693437,42.0189619120997,2021/02/12 09:59:00+00,2
-93.6155751809327,42.0345359457023,2021/02/19 07:41:00+00,2
-93.6166226241338,42.0229118512281,2021/02/19 08:47:00+00,2
-93.6136510870445,42.0229007565201,2021/03/16 15:45:00+00,3
-93.6103493797697,42.0174153392192,2021/03/17 18:00:00+00,3
-93.6085609710962,42.0236573894026,2021/03/22 14:38:00+00,3
-93.6444269884568,42.0227681212263,2021/03/22 17:13:00+00,3
-93.6100368269773,42.0061947834299,2021/03/23 09:04:00+00,3
-93.6218749047966,42.0512001195192,2021/02/21 11:36:00+00,2
-93.6570791968699,42.0068808320933,2021/02/21 14:02:00+00,2
-93.6392941482793,42.0083682770026,2021/02/23 07:46:00+00,2
-93.6302821767368,42.0532978111017,2021/02/23 11:15:00+00,2
-93.6256699017585,42.0327791219944,2021/04/12 18:23:00+00,4
-93.634581605138,42.003224637898,2021/04/15 05:12:00+00,4
-93.6476161062624,42.0227952048353,2021/04/16 01:02:00+00,4
-93.6663992601685,42.0228317951214,2021/04/29 18:22:00+00,4
-93.6466418445013,42.0112812816713,2021/04/29 18:26:00+00,4
-93.6517458552469,42.0191241676749,2021/04/29 18:51:00+00,4
-93.678663350179,42.0118439694816,2021/04/30 17:45:00+00,4
-93.6786540504706,42.0121052153384,2021/04/30 17:55:00+00,4
-93.608978844781,42.0345351075387,2021/05/02 15:05:00+00,5
-93.6142771388204,42.0201774209131,2021/04/30 18:38:00+00,4
