id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3496,KDSM,medium_airport,Des Moines International Airport,41.534,-93.663101,958,NA,United States,US,Iowa,US-IA,IA,Des Moines,1,KDSM,DSM,DSM,NA,https://en.wikipedia.org/wiki/Des_Moines_International_Airport,NA,750,2021-08-08T06:02:23Z
3451,KCID,medium_airport,The Eastern Iowa Airport,41.884701,-91.7108,869,NA,United States,US,Iowa,US-IA,IA,Cedar Rapids,1,KCID,CID,CID,NA,https://en.wikipedia.org/wiki/The_Eastern_Iowa_Airport,Cedar Rapids Municipal,750,2021-11-20T15:30:19Z
3482,KDBQ,medium_airport,Dubuque Regional Airport,42.402,-90.709503,1077,NA,United States,US,Iowa,US-IA,IA,Dubuque,1,KDBQ,DBQ,DBQ,NA,https://en.wikipedia.org/wiki/Dubuque_Regional_Airport,NA,750,2022-03-04T14:31:05Z
3909,KSUX,medium_airport,Sioux Gateway Airport / Brigadier General Bud Day Field,42.397605,-96.382237,1098,NA,United States,US,Iowa,US-IA,IA,Sioux City,1,KSUX,SUX,SUX,https://www.sioux-city.org/government/departments-a-f/airport,https://en.wikipedia.org/wiki/Sioux_Gateway_Airport,"Col. Bud Day, Sioux City AB, Sioux City AAB",750,2021-11-20T15:52:32Z
3375,KALO,medium_airport,Waterloo Regional Airport,42.557098388671875,-92.400299072265625,873,NA,United States,US,Iowa,US-IA,IA,Waterloo,1,KALO,ALO,ALO,NA,https://en.wikipedia.org/wiki/Waterloo_Regional_Airport,NA,750,2008-06-13T14:30:04Z
20482,KMCW,medium_airport,Mason City Municipal Airport,43.159801,-93.329716,1213,NA,United States,US,Iowa,US-IA,IA,Mason City,1,KMCW,MCW,MCW,http://flymcw.com/,https://en.wikipedia.org/wiki/Mason_City_Municipal_Airport,NA,500,2024-04-03T13:25:28Z
20182,KIOW,small_airport,Iowa City Municipal Airport,41.6391983032,-91.5465011597,668,NA,United States,US,Iowa,US-IA,IA,Iowa City,0,KIOW,IOW,IOW,http://www.icgov.org/?id=1501,https://en.wikipedia.org/wiki/Iowa_City_Municipal_Airport,NA,50,2014-05-24T23:03:48Z
19280,KAMW,small_airport,Ames Municipal Airport,41.992001,-93.621803,956,NA,United States,US,Iowa,US-IA,IA,Ames,0,KAMW,AMW,AMW,NA,https://en.wikipedia.org/wiki/Ames_Municipal_Airport,NA,50,2016-06-01T05:43:04Z
19669,KDVN,small_airport,Davenport Municipal Airport,41.610432,-90.589693,751,NA,United States,US,Iowa,US-IA,IA,Davenport,0,KDVN,DVN,DVN,http://www.cityofdavenportiowa.com/department/?fDD=47-0,https://en.wikipedia.org/wiki/Davenport_Municipal_Airport_(Iowa),NA,50,2021-10-13T16:43:01Z
3425,KBRL,medium_airport,Southeast Iowa Regional Airport,40.783199310302734,-91.12550354003906,698,NA,United States,US,Iowa,US-IA,IA,Burlington,1,KBRL,BRL,BRL,NA,https://en.wikipedia.org/wiki/Southeast_Iowa_Regional_Airport,NA,750,2008-06-13T14:30:04Z
20170,KIKV,small_airport,Ankeny Regional Airport,41.691399,-93.566399,910,NA,United States,US,Iowa,US-IA,IA,Ankeny,0,KIKV,NA,IKV,NA,https://en.wikipedia.org/wiki/Ankeny_Regional_Airport,NA,50,2024-05-18T19:45:33Z
19573,KCWI,small_airport,Clinton Municipal Airport,41.8311004639,-90.3291015625,708,NA,United States,US,Iowa,US-IA,IA,Clinton,0,KCWI,CWI,CWI,NA,https://en.wikipedia.org/wiki/Clinton_Municipal_Airport_(Iowa),NA,50,2014-08-14T23:54:28Z
3760,KOTM,medium_airport,Ottumwa Regional Airport,41.106368,-92.449837,845,NA,United States,US,Iowa,US-IA,IA,Ottumwa,0,KOTM,OTM,OTM,NA,https://en.wikipedia.org/wiki/Ottumwa_Regional_Airport,NA,475,2024-05-16T18:43:32Z
19463,KCBF,small_airport,Council Bluffs Municipal Airport,41.2592010498,-95.760597229,1253,NA,United States,US,Iowa,US-IA,IA,Council Bluffs,0,KCBF,CBF,CBF,NA,https://en.wikipedia.org/wiki/Council_Bluffs_Municipal_Airport,NA,50,2012-06-23T05:58:42Z
3536,KFOD,medium_airport,Fort Dodge Regional Airport,42.552624,-94.191237,1156,NA,United States,US,Iowa,US-IA,IA,Fort Dodge,1,KFOD,FOD,FOD,NA,https://en.wikipedia.org/wiki/Fort_Dodge_Regional_Airport,NA,750,2024-06-28T17:43:42Z
19947,KGGI,small_airport,Grinnell Regional Airport,41.70991,-92.736052,1008,NA,United States,US,Iowa,US-IA,IA,Grinnell,0,KGGI,NA,GGI,NA,https://en.wikipedia.org/wiki/Grinnell_Regional_Airport,NA,50,2024-05-18T19:28:21Z
21103,KSPW,small_airport,Spencer Municipal Airport,43.165500640869,-95.202796936035,1339,NA,United States,US,Iowa,US-IA,IA,Spencer,0,KSPW,SPW,SPW,http://spenceriowacity.com/airport.php,https://en.wikipedia.org/wiki/Spencer_Municipal_Airport,NA,50,2015-05-29T01:13:37Z
21044,KSDA,small_airport,Shenandoah Municipal Airport,40.7515983581543,-95.4136962890625,971,NA,United States,US,Iowa,US-IA,IA,Shenandoah,0,KSDA,NA,SDA,NA,NA,NA,50,2008-06-13T14:30:04Z
19332,KAWG,small_airport,Washington Municipal Airport,41.276100158691406,-91.67340087890624,754,NA,United States,US,Iowa,US-IA,IA,Washington,0,KAWG,NA,AWG,NA,NA,NA,50,2008-06-13T14:30:04Z
19761,KEOK,small_airport,Keokuk Municipal Airport,40.459899902299995,-91.4284973145,671,NA,United States,US,Iowa,US-IA,IA,Keokuk,0,KEOK,EOK,EOK,http://www.cityofkeokuk.org/airport.html,https://en.wikipedia.org/wiki/Keokuk_Municipal_Airport,NA,50,2014-09-12T20:29:25Z
19398,KBNW,small_airport,Boone Municipal Airport,42.049599,-93.847603,1160,NA,United States,US,Iowa,US-IA,IA,Boone,0,KBNW,BNW,BNW,NA,https://en.wikipedia.org/wiki/Boone_Municipal_Airport,NA,50,2024-05-16T18:37:29Z
20152,KICL,small_airport,Schenck Field,40.72180176,-95.02639771,996,NA,United States,US,Iowa,US-IA,IA,Clarinda,0,KICL,ICL,ICL,NA,NA,NA,50,2013-07-18T18:02:47Z
19622,KDEH,small_airport,Decorah Municipal Airport,43.275501,-91.739403,1158,NA,United States,US,Iowa,US-IA,IA,Decorah,0,KDEH,DEH,DEH,NA,https://en.wikipedia.org/wiki/Decorah_Municipal_Airport,NA,50,2022-03-01T12:53:13Z
18358,US-0F3,small_airport,Spirit Lake Municipal Airport,43.387501,-95.139198,1434,NA,United States,US,Iowa,US-IA,IA,Okoboji,0,NA,RTL,0F3,NA,https://en.wikipedia.org/wiki/Spirit_Lake_Municipal_Airport,Lake Okoboji,50,2023-08-09T14:43:34Z
20816,KPEA,small_airport,Pella Municipal Airport,41.40010070800781,-92.9458999633789,885,NA,United States,US,Iowa,US-IA,IA,Pella,0,KPEA,NA,PEA,NA,NA,NA,50,2008-06-13T14:30:04Z
19646,KDNS,small_airport,Denison Municipal Airport,41.9864006,-95.38069916,1274,NA,United States,US,Iowa,US-IA,IA,Denison,0,KDNS,DNS,DNS,http://www.denisonia.com/community/airport.asp,https://en.wikipedia.org/wiki/Denison_Municipal_Airport,NA,50,2014-08-31T22:06:01Z
20164,KIIB,small_airport,Independence Municipal Airport,42.456836,-91.94767,979,NA,United States,US,Iowa,US-IA,IA,Independence,0,KIIB,NA,IIB,NA,https://en.wikipedia.org/wiki/Independence_Municipal_Airport_(Iowa),NA,50,2024-05-18T19:44:18Z
20760,KOQW,small_airport,Maquoketa Municipal Airport,42.050703,-90.739217,769,NA,United States,US,Iowa,US-IA,IA,Maquoketa,0,KOQW,NA,OQW,NA,NA,NA,50,2022-11-02T14:25:22Z
20511,KMIW,small_airport,Marshalltown Municipal Airport,42.112701,-92.917801,974,NA,United States,US,Iowa,US-IA,IA,Marshalltown,0,KMIW,MIW,MIW,NA,NA,NA,50,2024-04-03T16:35:52Z
20571,KMUT,small_airport,Muscatine Municipal Airport,41.367803,-91.148201,547,NA,United States,US,Iowa,US-IA,IA,Muscatine,0,KMUT,MUT,MUT,https://www.muscatineiowa.gov/550/Muscatine-Municipal-Airport,https://en.wikipedia.org/wiki/Muscatine_Municipal_Airport,NA,50,2019-04-28T02:03:23Z
21207,KTNU,small_airport,Newton Municipal Airport,41.6744,-93.021698,953,NA,United States,US,Iowa,US-IA,IA,Newton,0,KTNU,TNU,TNU,http://www.newtongov.org/index.aspx?nid=189,https://en.wikipedia.org/wiki/Newton_Municipal_Airport_(Iowa),Earl Johnson Field,50,2022-09-27T14:22:49Z
19262,KAIO,small_airport,Atlantic Municipal Airport,41.40729904,-95.04689789,1165,NA,United States,US,Iowa,US-IA,IA,Atlantic,0,KAIO,AIO,AIO,NA,https://en.wikipedia.org/wiki/Atlantic_Municipal_Airport,NA,50,2011-09-04T11:05:43Z
19500,KCIN,small_airport,Arthur N Neu Airport,42.0461997986,-94.7890014648,1204,NA,United States,US,Iowa,US-IA,IA,Carroll,0,KCIN,CIN,CIN,http://www.cityofcarroll.com/index.php/departments/airport,https://en.wikipedia.org/wiki/Arthur_N._Neu_Airport,NA,50,2014-07-20T13:57:29Z
20756,KOOA,small_airport,Oskaloosa Municipal Airport,41.2262,-92.493896,841,NA,United States,US,Iowa,US-IA,IA,Cedar,0,KOOA,OOA,OOA,NA,NA,NA,50,2024-04-03T17:13:45Z
19863,KFFL,small_airport,Fairfield Municipal Airport,41.053024,-91.980114,799,NA,United States,US,Iowa,US-IA,IA,Fairfield,0,KFFL,FFL,FFL,http://cityoffairfieldiowa.com/index.aspx?nid=65,https://en.wikipedia.org/wiki/Fairfield_Municipal_Airport_(Iowa),NA,50,2021-10-14T14:47:04Z
19439,KC17,small_airport,Marion Airport,42.031101,-91.529297,862,NA,United States,US,Iowa,US-IA,IA,Marion,0,KC17,NA,C17,NA,https://en.wikipedia.org/wiki/Marion_Airport,NA,50,2024-05-20T15:51:47Z
20587,KMXO,small_airport,Monticello Regional Airport,42.220402,-91.1633,832,NA,United States,US,Iowa,US-IA,IA,Monticello,0,KMXO,MXO,MXO,NA,https://en.wikipedia.org/wiki/Monticello_Regional_Airport,NA,50,2024-04-03T16:55:50Z
20552,KMPZ,small_airport,Mount Pleasant Municipal Airport,40.94660187,-91.51110077,730,NA,United States,US,Iowa,US-IA,IA,Mount Pleasant,0,KMPZ,MPZ,MPZ,https://www.cityofmountpleasantiowa.org/citysite/citydepartments/publicworks_airport.aspx,https://en.wikipedia.org/wiki/Mount_Pleasant_Municipal_Airport_(Iowa),NA,50,2015-03-19T17:27:53Z
20960,KRRQ,small_airport,Rock Rapids Municipal Airport,43.45220184326172,-96.17980194091795,1363,NA,United States,US,Iowa,US-IA,IA,Rock Rapids,0,KRRQ,NA,RRQ,NA,NA,NA,50,2008-06-13T14:30:04Z
21078,KSLB,small_airport,Storm Lake Municipal Airport,42.5973014832,-95.2406997681,1488,NA,United States,US,Iowa,US-IA,IA,Storm Lake,0,KSLB,SLB,SLB,http://www.stormlake.org/index.aspx?NID=16,https://en.wikipedia.org/wiki/Storm_Lake_Municipal_Airport,NA,50,2013-08-31T01:37:26Z
21338,KVTI,small_airport,Vinton Veterans Memorial Airpark,42.218221,-92.025905,842,NA,United States,US,Iowa,US-IA,IA,Vinton,0,KVTI,NA,VTI,NA,NA,NA,50,2023-08-11T12:14:08Z
19335,KAXA,small_airport,Algona Municipal Airport,43.078104,-94.271836,1219,NA,United States,US,Iowa,US-IA,IA,Algona,0,KAXA,AXG,AXA,NA,https://en.wikipedia.org/wiki/Algona_Municipal_Airport,NA,50,2022-12-20T11:36:41Z
19239,KADU,small_airport,Audubon County Airport,41.701401,-94.920502,1287,NA,United States,US,Iowa,US-IA,IA,Audubon,0,KADU,NA,ADU,NA,https://en.wikipedia.org/wiki/Audubon_County_Airport,NA,50,2024-05-18T18:26:55Z
18831,K4K6,small_airport,Bloomfield Municipal Airport,40.732101,-92.428299,888,NA,United States,US,Iowa,US-IA,IA,Bloomfield,0,K4K6,NA,4K6,NA,https://en.wikipedia.org/wiki/Bloomfield_Municipal_Airport_(Iowa),NA,50,2024-05-20T15:11:30Z
19509,KCKP,small_airport,Cherokee County Regional Airport,42.7317009,-95.55590057,1227,NA,United States,US,Iowa,US-IA,IA,Cherokee,0,KCKP,NA,CKP,NA,NA,NA,50,2010-01-23T11:28:51Z
19772,KEST,small_airport,Estherville Municipal Airport,43.407398,-94.746399,1319,NA,United States,US,Iowa,US-IA,IA,Estherville,0,KEST,EST,EST,NA,https://en.wikipedia.org/wiki/Estherville_Municipal_Airport,NA,50,2024-05-20T16:01:42Z
20069,KHNR,small_airport,Harlan Municipal Airport,41.58440017700195,-95.339599609375,1231,NA,United States,US,Iowa,US-IA,IA,Harlan,0,KHNR,NA,HNR,NA,NA,NA,50,2008-06-13T14:30:04Z
20159,KIFA,small_airport,Iowa Falls Municipal Airport,42.4707984924,-93.2699966431,1137,NA,United States,US,Iowa,US-IA,IA,Iowa Falls,0,KIFA,IFA,IFA,http://www.cityofiowafalls.com/airport.asp,NA,NA,50,2013-07-18T20:53:38Z
20372,KLRJ,small_airport,Le Mars Municipal Airport,42.77799988,-96.1937027,1197,NA,United States,US,Iowa,US-IA,IA,Le Mars,0,KLRJ,LRJ,LRJ,http://www.lemarsiowa.com/citygov/airport.htm,https://en.wikipedia.org/wiki/Le_Mars_Municipal_Airport,http://www.lemarsiowa.com/citygov/airport.htm,50,2015-02-28T18:35:43Z
17702,IA24,small_airport,Green Castle Airport,41.755001,-91.727699,750,NA,United States,US,Iowa,US-IA,IA,Oxford,0,IA24,NA,IA24,NA,https://en.wikipedia.org/wiki/Green_Castle_Airport,NA,50,2024-05-20T13:49:43Z
20921,KRDK,small_airport,Red Oak Municipal Airport,41.010502,-95.259903,1045,NA,United States,US,Iowa,US-IA,IA,Red Oak,0,KRDK,NA,RDK,NA,https://en.wikipedia.org/wiki/Red_Oak_Municipal_Airport,NA,50,2024-05-18T20:23:08Z
19470,KCCY,medium_airport,Northeast Iowa Regional Airport,43.0726013184,-92.6108016968,1125,NA,United States,US,Iowa,US-IA,IA,Charles City,0,KCCY,CCY,CCY,NA,https://en.wikipedia.org/wiki/Northeast_Iowa_Regional_Airport,Charles City Municipal Airport,250,2012-06-28T16:41:22Z
21242,KTZT,small_airport,Belle Plaine Municipal Airport,41.87879943847656,-92.28459930419922,771,NA,United States,US,Iowa,US-IA,IA,Belle Plaine,0,KTZT,NA,TZT,NA,NA,NA,50,2008-06-13T14:30:04Z
17705,IA27,small_airport,Antique Airfield,40.977798,-92.5877,890,NA,United States,US,Iowa,US-IA,IA,Blakesburg,0,IA27,NA,IA27,NA,https://en.wikipedia.org/wiki/Antique_Airfield,NA,50,2024-05-20T13:50:01Z
21234,KTVK,small_airport,Centerville Municipal Airport,40.683899,-92.901001,1023,NA,United States,US,Iowa,US-IA,IA,Centerville,0,KTVK,NA,TVK,NA,https://en.wikipedia.org/wiki/Centerville_Municipal_Airport_(Iowa),NA,50,2024-05-18T20:35:35Z
19522,KCNC,small_airport,Chariton Municipal Airport,41.01959991455078,-93.35970306396484,1050,NA,United States,US,Iowa,US-IA,IA,Chariton,0,KCNC,NA,CNC,NA,NA,NA,50,2008-06-13T14:30:04Z
