origin,dest
"Ames, IA","Clear Lake, IA"
"Ames, IA","Des Moines, IA"
"Ames, IA","Dudley's Corner, IA"
"Ames, IA","Lamoni, IA"
"Ames, IA","Mason City (Airport - MCW), IA"
"Ames, IA","Osceola, IA"
"Ames, IA","Williams, IA"
"Ames, IA","Chanute, KS"
"Ames, IA","Coffeyville, KS"
"Ames, IA","Lola, KS"
"Ames, IA","Albert Lea, MN"
"Ames, IA","Burnsville, MN"
"Ames, IA","Faribault, MN"
"Ames, IA","Minneapolis, MN"
"Ames, IA","Minneapolis-St Paul (Airport - MSP), MN"
"Ames, IA","Owatonna, MN"
"Ames, IA","St. Paul (Amtrak), MN"
"Ames, IA","Bethany, MO"
"Ames, IA","Cameron, MO"
"Ames, IA","Kansas City, MO"
"Ames, IA","Dewey, OK"
"Ames, IA","Tulsa, OK"
